WellNo,State,District,Block,Village,Latitude,Longitude,MostRecentDWLR,NumPoints,API request OP 
W263408091113101,Assam,Darrang,Bechimari,Dalgaon,26.57146,92.19399,,,
W263635092173201,Assam,Darrang,Bechimari,Silbori,26.60972,92.29222,,,
W262928091054201,Assam,Darrang,Pub Mangaldai,Dhula,26.49111,92.095,,,
W262735091513001,Assam,Darrang,Sipajhar,Dipila,26.45972,91.85833,,,
W262813091473701,Assam,Darrang,Sipajhar,Malibaritari,26.47028,91.79361,,,
W272550094154501,Assam,Dhemaji,Bordoloni,Gogamukh,27.43056,94.2625,,,
W272610094313001,Assam,Dhemaji,Dhemaji,Chengali Pather,27.43611,94.525,,,
W261126090212201,Assam,Dhubri,Chapar Salkocha,Chandardinga,26.19046,90.35611,,,
W261226090174401,Assam,Dhubri,Chapar Salkocha,Sonamukhi,26.20717,90.29547,,,
W261836090243601,Assam,Dhubri,Chapar Salkocha,Falimari,26.31,90.41,,,
W261420090222701,Assam,Dhubri,Hatidhura,Sarpamari,26.23898,90.37464,,,
W255505090454201,Assam,Goalpara,Kuchdhowa,Nisangram,25.91817,90.76171,,,
W255855091033301,Assam,Goalpara,Kuchdhowa,Digheli,25.98186,91.0591,,,
W260606090471201,Assam,Goalpara,Matia,Dalgoma,26.10165,90.78671,,,
W244240092340701,Assam,Hailakandi,Hailakandi,Boalipar,24.71111,92.56861,,,
W243860092351601,Assam,Hailakandi,Lala,Kuchila,24.65,92.58778,,,
W242254092330001,Assam,Hailakandi,South Hailakandi,Alaichera,24.38177,92.55014,,,
W242330092333301,Assam,Hailakandi,South Hailakandi,Alaichera,24.39167,92.55917,,,
W263747094195601,Assam,Jorhat,Jorhat,Nagajanga,26.62979,94.33231,,,
W264439094113201,Assam,Jorhat,North West Jorhat,2No. Sonarigaon,26.74417,94.19228,,,
W263844094111501,Assam,Jorhat,Titabor,Jalukunibari,26.64555,94.18758,,,
W255623091081901,Assam,Kamrup,Boko,Dhupguri,25.93971,91.13873,,,
W260259091172201,Assam,Kamrup,Bongaon,Jambari,26.0498,91.28932,,,
W255111091221401,Assam,Kamrup,Chayani,Ranikhamar,25.85295,91.37043,,,
W261817091425801,Assam,Kamrup,Kamalpur,Madanpur,26.30458,91.71613,,,
W255835091303001,Assam,Kamrup,Rani,Garopara,25.9764,91.50837,,,
W262100092524801,Assam,Kamrup Metro,Bezera (Pt),IIT Guwahtai,26.1859,91.6955,,,
W260729091455901,Assam,Kamrup Metro,Guwahati,Saukuchi,26.12472,91.76639,,,
W260748091453601,Assam,Kamrup Metro,Guwahati,DGM,26.13,91.76,,,
W261948092510001,Assam,Kamrup Metro,Guwahati,Cgwb Betkuchi,26.1136,91.7221,,,
W261912092224801,Assam,Kamrup Metro,Rani (Pt),Kahikuchi,26.1064,91.6093,,,
W255812093354601,Assam,Karbi Anglong,Bokajan,Dillai,25.97011,93.59617,,,
W255800093261801,Assam,Karbi Anglong,Lumbajong,Manja,25.9667,93.4382,,,
W270842094210001,Assam,Lakhimpur,Ghilamara,Sonari Chapori,27.145,94.35,,,
W271303094193901,Assam,Lakhimpur,Ghilamara,Gossai Chapori,27.2174,94.32754,,,
W271156094263401,Assam,Lakhimpur,Lakhimpur,N Lakhimpur,27.19889,94.44278,,,
W265656094054901,Assam,Majuli,Majuli,Chilkolagaon,26.94894,94.09695,,,
W261444492184201,Assam,Marigaon,Bhurbandha,Basanaghat,26.24568,92.31165,,,
W261106092134204,Assam,Marigaon,Mayang,Jagibhagatgaon,26.18488,92.22843,,,
W261010092352101,Assam,Nagaon,Raha,Balijuri,26.16944,92.58916,,,
W264619094332901,Assam,Sivasagar,Amguri,Haluwating,26.77217,94.55818,,,
W271156094450001,Assam,Sivasagar,Demow,Garbhaga,27.19889,94.75,,,
W265042094312301,Assam,Sivasagar,Gaurisagar,Jorabari Satra,26.845,94.523,,,
W264213092571001,Assam,Sonitpur,Naduar,Tolakbari Ow,26.70361,92.95286,,,
W264636092541901,Assam,Sonitpur,Naduar,Panigaon Ow,26.77669,92.90532,,,
W263118091433501,Assam,Tamulpur,Goreswar,Bengenahati,26.52175,91.72633,,,
W264034091401101,Assam,Tamulpur,Nagrijuli,Dakhin Dongargaon,26.67611,91.66972,,,
W264427091485201,Assam,Udalguri,Bhergaon,Dimakuchi,26.74083,91.81445,,,
W263515091563801,Assam,Udalguri,Kalaigaon,Bholabari,26.58738,91.94386,,,
W264712092173701,Assam,Udalguri,Mazbat,Mazbat,26.78667,92.29361,,,
W264731092040701,Assam,Udalguri,Odalguri,Khaurung,26.79194,92.06861,,,
W263220092044001,Assam,Udalguri,Pub Mangaldai,Bhakatpara,26.53889,92.07778,,,
